blink_freq,ch1,ch2,ch3,ch4,timestamp
10.0,13.7104732375592,11.862962659448385,11.331896865740418,10.47545977588743,1684947938.2249405
10.0,-38.71918424125761,-51.89111188519746,-27.230211577378213,-22.08036933839321,1684947938.2249405
10.0,1.5370988817885518,-0.38520969543606043,-6.215713726356626,5.2134205382317305,1684947938.2393236
10.0,8.07070410437882,14.043324333615601,2.8049249667674303,13.067210445180535,1684947938.2393236
10.0,-63.73163514491171,-84.78727189544588,-44.041061878204346,-41.00052321422845,1684947938.2400064
10.0,-43.98122347891331,-55.350519344210625,-32.813882211223245,-22.98916502762586,1684947938.2400064
10.0,-3.6314428569748998,-1.2715659849345684,-7.412481712177396,7.315244313329458,1684947938.2537937
10.0,13.014851845800877,18.51998458057642,12.663301249966025,19.080969573929906,1684947938.2537937
10.0,-60.04035388864577,-77.37479018326849,-32.87372061051428,-32.14818001911044,1684947938.2693515
10.0,-41.41191220935434,-56.169557434506714,-28.90942665748298,-19.914967264048755,1684947938.2693515
10.0,3.4893266586586833,-2.81988456659019,-0.6208233926445246,8.713966896757483,1684947938.2699852
10.0,16.713612901978195,20.741485154256225,16.788410901091993,20.210419360548258,1684947938.2699852
10.0,-53.90317806135863,-76.04338579904288,-34.67261248920113,-36.52386296726763,1684947938.3002129
10.0,-36.314428569749,-48.63365902379155,-23.254697924479842,-20.834982653148472,1684947938.3002129
10.0,3.6015236573293805,5.5761908339336514,-4.742193143814802,10.09398998040706,1684947938.3006942
10.0,15.617822214961052,21.76621774211526,10.187487479299307,17.869241988286376,1684947938.3006942
10.0,-57.92731041368097,-73.32073863130063,-31.564755626022816,-33.225271206349134,1684947938.3014407
10.0,-43.5399152841419,-56.973635924980044,-24.410327010788023,-24.53374370932579,1684947938.3014407
10.0,-5.65098883304745,-2.0270257759839296,-4.936667941510677,-2.045725275762379,1684947938.313802
10.0,11.986379357986152,19.832689465023577,13.725432837381959,15.6739207142964,1684947938.313802
10.0,-56.169557434506714,-79.74588675517589,-36.11247397214174,-35.06904188450426,1684947938.3292472
10.0,-35.85442087519914,-54.36318575590849,-25.38644089922309,-15.614082315005362,1684947938.3292472
10.0,10.146348579786718,5.041385140269995,0.321631396189332,7.894928806461394,1684947938.329924
10.0,19.499838368967175,14.563170427456498,10.269765278324485,19.226825672201812,1684947938.329924
10.0,-57.11949202325195,-77.79365897830576,-35.06156208459288,-36.9427317623049,1684947938.3434365
10.0,-37.589734454639256,-50.02864170726389,-21.36230854690075,-21.26507114805281,1684947938.3434365
10.0,-0.7704193908721209,2.487033470533788,0.684401691891253,3.6838014563545585,1684947938.359203
10.0,14.944640222936869,18.370388582348824,17.69346669036895,13.841369736008346,1684947938.359203
10.0,-54.76335505116731,-75.9985069995746,-33.01209690887481,-33.41600610408932,1684947938.3599184
10.0,-36.33312806952745,-51.95843008439988,-22.16264713741839,-16.709873002022505,1684947938.3599184
10.0,1.7914120787754655,1.0284724878147244,0.684401691891253,5.901562130078673,1684947938.373598
10.0,14.589349727146327,16.679953802376986,10.097729880362749,15.561723715625703,1684947938.373598
10.0,-58.37983830831945,-79.43921495880932,-34.93066558614373,-42.63859939482063,1684947938.3893394
10.0,-39.48212383221835,-54.83815305028111,-27.35736817587167,-24.1597537137568,1684947938.3893394
10.0,-2.4832935705780983,1.933528277091682,-2.3935359716415405,1.2229472855105996,1684947938.389819
10.0,22.461839133873582,24.48138510994613,18.280630983412266,22.47679873369634,1684947938.389819
10.0,-52.71388987544924,-74.51002681721002,-25.74547129496932,-39.07821463700384,1684947938.4038296
