,blink_freq,ch1,ch2,ch3,ch4,timestamp
0,15.0,14.211619831621647,9.959353582002223,9.125355891883373,8.171681403182447,1684942572.019281
1,15.0,-9.121615991927683,-9.862116183154285,-4.158768750727177,-39.34000763390213,1684942572.019281
2,15.0,36.9427317623049,52.971942972391844,50.8401999976486,129.44915716629475,1684942572.0200248
3,15.0,69.53221997618675,77.77121957857162,73.27211993187666,183.99933791998774,1684942572.0200248
4,15.0,17.199799896217883,6.271812225691974,9.319830689579248,7.180607914924622,1684942572.0207584
5,15.0,-18.841615976765752,-15.183993820101023,-8.957060393877327,-46.21394375246018,1684942572.0207584
6,15.0,48.083893730305135,70.06328576989472,68.70570208597928,147.23986125551164,1684942572.0335624
7,15.0,80.65842234436423,91.66120801400393,91.60510951466858,202.18273150455207,1684942572.0335624
8,15.0,15.228872619569302,9.892035382799804,17.128741797059774,14.09568293299526,1684942572.034334
9,15.0,-6.234413226135075,0.7330203913152218,8.280138501897454,-27.114274678751826,1684942572.034334
10,15.0,50.26799530442804,66.29720651451498,62.34039236139506,146.78733336087316,1684942572.0479076
11,15.0,58.89594450220466,74.82417841348797,75.97232769988477,186.06376269552857,1684942572.0479076
12,15.0,4.41308194771409,-1.21172758564353,10.408141576685011,5.475213535130024,1684942572.0793195
13,15.0,-16.728572501800954,-10.785871472209692,-3.706240856088698,-40.95564441476017,1684942572.0793195
14,15.0,50.152058405801654,70.10068476945162,73.64984982740134,152.75247379019856,1684942572.0800045
15,15.0,65.01068092975765,71.67144275084138,74.03879942279309,188.22168496996164,1684942572.0800045
16,15.0,-4.136329350993037,-12.775498248636723,-2.01580607611686,-7.984686405397952,1684942572.0807447
17,15.0,-26.14564059022814,-20.87612155266106,-13.69551363773644,-51.81257398612797,1684942572.0807447
18,15.0,52.73632927518338,74.02383982297033,70.8112657610327,149.11729103326797,1684942572.093941
19,15.0,71.15907645691186,80.44898794684559,76.89982288889587,193.13591351173818,1684942572.093941
20,15.0,22.18508653715253,12.689480549655855,20.92474025208503,15.221392819657922,1684942572.0943997
21,15.0,-0.1570757981389761,-0.3066717963665724,10.46424007602036,-28.22128506563604,1684942572.0943997
22,15.0,55.97508263681084,76.30517879594117,76.89234308898449,152.47198129352182,1684942572.1079483
23,15.0,84.02807220444083,95.90599446371198,95.14679477270693,205.25692926812917,1684942572.1079483
24,15.0,13.882508635520935,8.164201603271067,14.817483624443412,13.28786454256624,1684942572.124786
25,15.0,-18.05249708611518,-16.15262790862471,-10.05285108089447,-42.66103879455477,1684942572.124786
26,15.0,46.55053474847227,64.2178221391514,61.1398844756186,141.50285472348332,1684942572.1249733
